"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
64007200,710,373233000000,405271000000,"South Africa",5831.109625167169,"Africa",41
19015100,642,369971000000,300691000000,"Romania",19456.69494244048,"Europe",42
116538000,818,347594000000,409307000000,"Egypt",2982.6665980195303,"Africa",43
19764800,152,333760000000,300686000000,"Chile",16886.58625435117,"South America",44
10735900,203,325880000000,290528000000,"Czech Republic",30354.23206251921,"Europe",45
5617310,246,308055000000,282512000000,"Finland",54840.306125173796,"Europe",46
10425300,620,298949000000,254850000000,"Portugal",28675.337879965085,"Europe",47
20592600,398,296740000000,225496000000,"Kazakhstan",14410.03078775871,"Asia",48
34217800,604,282458000000,242632000000,"Peru",8254.709537141487,"South America",49
46814300,12,266779999999.99997,191913000000,"Algeria",5698.686085234639,"Africa",50
46042000,368,265894000000,264182000000,"Iraq",5775.031492984666,"Asia",51
5213940,554,257625999999.99997,245845000000,"New Zealand",49411.00204451911,"Oceania",52
232679000,566,252738000000,475059000000,"Nigeria",1086.2088972361064,"Africa",53
10047800,300,250276000000,217286000000,"Greece",24908.53719222118,"Europe",54
3048420,634,244686000000,237101000000,"Qatar",80266.49871080757,"Asia",55
9676140,348,223413000000,177337000000,"Hungary",23089.06237404585,"Europe",56
132060000,231,205130000000,118972000000,"Ethiopia",1553.3091019233682,"Africa",57
37860200,804,188943000000,160503000000,"Ukraine",4990.544159830112,"Europe",58
4934510,414,160397000000,175363000000,"Kuwait",32505.152487278374,"Asia",59
38081200,504,152377000000,130913000000,"Morocco",4001.370755123263,"Africa",60
5506760,703,140808000000,115305000000,"Slovakia",25570.026658143808,"Europe",61
11427600,214,127356000000,113537000000,"Dominican Republic",11144.597290769716,"North America",62
18135500,218,121592000000,115049000000,"Ecuador",6704.640070579802,"South America",63
3242200,630,117763000000,113435000000,"Puerto Rico",36321.94189130837,"North America",64
18406400,320,110035000000,95003300000,"Guatemala",5978.083710013908,"North America",65
5281540,512,108927000000,114667000000,"Oman",20624.098274366945,"Asia",66
6757690,100,107933000000,90213000000,"Bulgaria",15971.877964215582,"Europe",67
56432900,404,104001000000,113420000000,"Kenya",1842.914328343927,"Africa",68
28405500,862,102328000000,129314000000,"Venezuela",3602.4009434792556,"South America",69
36361900,860,97956000000,80391900000,"Uzbekistan",2693.918634614803,"Asia",70
5129910,188,96058000000,68380800000,"Costa Rica",18725.0848455431,"North America",71
37885800,24,92123000000,113305000000,"Angola",2431.5970627517436,"Africa",72
673036,442,88556000000,81530900000,"Luxembourg",131576.91416209535,"Europe",73
